pop1 pop2 pop3 est se z p
YRI GBR ASW 0.00352488743534815 0.000235681832487542 14.9561270724355 1.42056130544405e-50
YRI GBR BEB 0.0113628092778052 0.00072168489669066 15.7448345253035 7.45258089705451e-56
YRI GBR CEU 0.0137337055658197 0.000860478535670262 15.9605440420684 2.40624736006893e-57
YRI GBR CHB 0.012976587758978 0.00078166923862157 16.60112374623 6.83983127148876e-62
YRI GBR ESN 0.000110138460234245 1.25081646809959e-05 8.80532540489993 1.30473488713352e-18
YRI GBR FIN 0.0138702680499963 0.000885415028578512 15.6652728972359 2.6130566857532e-55
YRI GBR GBR 0.0138777065810786 0.00088970374206608 15.5981209529946 7.49683511376567e-55
YRI GBR GIH 0.0111712318357781 0.000716894108523569 15.5828199771164 9.52579970736148e-55
YRI GBR ITU 0.0110167453811808 0.000686006752308043 16.0592375280788 4.92568928250698e-58
YRI GBR JPT 0.013196280644888 0.000788223659027792 16.7417971964512 6.49958233066057e-63
YRI GBR LWK 0.000705645172474254 5.84694276025342e-05 12.0686177615953 1.54711081973582e-33
YRI GBR MSL 0.000258033728295242 2.9226582312014e-05 8.82873425091423 1.05866925455588e-18
YRI GBR MXL 0.01306100060141 0.000844480722065527 15.4663099584606 5.85695607809519e-54
YRI GBR STU 0.0109122293452922 0.000702332742551911 15.5371217717158 1.94525809339629e-54
YRI GBR TSI 0.0130619431296195 0.000848938479792836 15.3862069402331 2.02563796813911e-53
