pop1 pop2 pop3 est se z p
YRI FIN CDX 0.00744434365115807 0.000336444457976644 22.1265159067499 1.75634803198048e-108
YRI FIN CHB 0.00912252605860857 0.000387474875060633 23.5435292602677 1.46236931991902e-122
YRI FIN CHS -0.00259686203275047 0.000138729596896305 -18.7188753578771 3.47408920855182e-78
YRI FIN DA234 -0.00318632267468895 0.000654752285010265 -4.86645521922691 1.13617652371317e-06
YRI FIN DA236 -0.0016379545895884 0.0007068051942239 -2.31740598820434 0.0204816264552306
YRI FIN DA237_E1_L1 0.00834054323656163 0.000582014227504436 14.3304799821205 1.41141732900244e-46
YRI FIN DA238 0.00845829216444367 0.000575639172788513 14.6937396971613 7.07016859599756e-49
YRI FIN FIN 0.0107463401590405 0.000441417935493197 24.3450464853306 6.54173914912543e-131
YRI FIN GBR 0.0106012408778992 0.000432835083184087 24.4925637725869 1.77281946941672e-132
YRI FIN IBS 0.00681274751881829 0.000306832035375527 22.2035078914764 3.17667140453456e-109
YRI FIN IK002.maf001_Jomon 0.00956403796264852 0.000626551178152711 15.2645758178073 1.31681321383454e-52
YRI FIN Jomon 0.0119004569272243 0.000731021245413409 16.2792217078374 1.38620725858247e-59
YRI FIN JpFu1 0.0109013714980285 0.00058976952754546 18.4841213200664 2.77177364798503e-76
YRI FIN JpHi01 0.0112507729566085 0.000704802575284349 15.9630134042422 2.31289386498453e-57
YRI FIN JpIw31 0.0104631933647566 0.000595795544795871 17.5617180359103 4.83882504697667e-69
YRI FIN JpIw32 0.00364704504013367 0.000720090437295919 5.06470416942216 4.09035044684438e-07
YRI FIN JpIw33 0.00842780033263571 0.00056996567620034 14.7865050204767 1.79010690739396e-49
YRI FIN JpKa6904 0.00185578445323012 0.000739620120846002 2.50910487820073 0.0121037541862831
YRI FIN JpKo13 0.0112207524124239 0.000638636182181074 17.56986642082 4.19158178573648e-69
YRI FIN JpKo2 0.010020638599532 0.000581364568232371 17.2364109322995 1.41556923348816e-66
YRI FIN JpOd181 -0.00254548336094757 0.000686486488455503 -3.70798756239842 0.000208912914550906
YRI FIN JpOd274 0.00625117719998674 0.000830563365714174 7.52643020151937 5.21463346365609e-14
YRI FIN JpOd282 0.00928266970296011 0.000575647370295755 16.1256181856453 1.68563874454992e-58
YRI FIN JpOd6 0.0023411322710668 0.000699136416501373 3.34860581684805 0.000812192591633484
YRI FIN JPT 0.00221439527464063 0.000213009420241547 10.3957621786378 2.59206244165851e-25
YRI FIN Kolyma_River 0.00180844630550616 0.000843742449584454 2.14336294967359 0.0320839657224471
YRI FIN M0831 0.00134298055063576 0.000749159182033726 1.79265045779724 0.0730288328736332
YRI FIN M9984 0.00338570548138411 0.00082294895806296 4.1141135768047 3.88670046391083e-05
YRI FIN NEO229 -0.00463672431745983 0.000678686602094101 -6.83190783957297 8.37926781760744e-12
YRI FIN NEO230 -0.00491290295699419 0.000650932959356235 -7.54747917796788 4.43763461489905e-14
YRI FIN NEO231 -0.00334446456669283 0.000617218558632557 -5.41860661821716 6.00653154298224e-08
YRI FIN NEO232 -0.00451218298228195 0.000681623413394452 -6.61975937682583 3.59784030673327e-11
YRI FIN NEO233 -0.00435028443003251 0.000607866270852462 -7.15664717493166 8.26741152013434e-13
YRI FIN NEO234 -0.00646733980804699 0.000707791956404722 -9.13734572641697 6.40038961178336e-20
YRI FIN NEO235 -0.00305398088140858 0.000636945034627014 -4.79473222237606 1.62892270323349e-06
YRI FIN NEO236 -0.00331740065325708 0.000620168488583225 -5.34919254094268 8.83475120183592e-08
YRI FIN NEO237 -0.00321872693847377 0.000638565233542231 -5.04056088462402 4.64169421368892e-07
YRI FIN NEO238 -0.00216160492789175 0.000655307544308326 -3.29861138738044 0.000971643222985796
YRI FIN NEO239 -0.00438630690053532 0.000618843981920944 -7.08790426776044 1.3615810028793e-12
YRI FIN NEO240 -0.00232331660198082 0.000566746842027222 -4.09939046800939 4.14239655724449e-05
YRI FIN NEO241 -0.00307473254165393 0.000688628224862136 -4.4650109168405 8.00646692560115e-06
YRI FIN NEO242 -0.00296964290404384 0.000542002348691445 -5.47902220574033 4.27682691875165e-08
YRI FIN NEO243 -0.00638843016381486 0.000724551069151396 -8.81708748466422 1.17475453238292e-18
YRI FIN NEO246 -0.00414130690415012 0.000591859506418859 -6.99711140775243 2.61293513122144e-12
YRI FIN NEO247 -0.00355040907367326 0.000574245489467626 -6.18273741595217 6.29994593075531e-10
YRI FIN NEO248 -0.00329960698783471 0.000576537285060995 -5.72314588029745 1.04569400187196e-08
YRI FIN NEO249 -0.00407335964193086 0.000645072878862663 -6.31457277992008 2.70908808928705e-10
YRI FIN NEO250 -0.00470337775533527 0.000609229490263425 -7.72020696716696 1.16140964542265e-14
YRI FIN NEO251 0.0100813651351682 0.00056617455749014 17.8061076779201 6.33660979767588e-71
YRI FIN NEO253 0.0108236861103579 0.000633081905879726 17.0968179785795 1.56731267680057e-65
YRI FIN NEO298 0.0106073500864019 0.000597658499289788 17.7481791006183 1.78033531065218e-70
YRI FIN NEO299 0.0102851448564515 0.000683874795182336 15.039514438764 4.04506165025818e-51
YRI FIN Yana_old 0.0101357159881654 0.000629613802468468 16.0983065308086 2.62182653450416e-58
YRI FIN Yana_old2 0.0107414958677632 0.000645734606375087 16.6345364825062 3.9177579435431e-62
YRI FIN Yana_Young 0.0113678623546326 0.00061039183964371 18.6238766908615 2.05764525604718e-77
